time;face_valid;bpm
5056;1;59.7253
5089;1;59.7372
5123;1;59.7372
5157;1;59.7253
5190;1;59.7372
5224;1;59.7372
5258;1;59.7253
5291;1;59.7372
5325;1;59.7372
5359;1;59.7372
5393;1;59.7253
5426;1;59.7372
5460;1;59.7372
5494;1;59.7253
5527;1;59.7372
5561;1;59.7372
5595;1;59.7372
5629;1;59.7253
5662;1;59.7372
5696;1;59.7372
5730;1;59.7253
5763;1;59.7372
5797;1;59.7372
5831;1;59.7253
5864;1;59.7372
5898;1;59.7372
5932;1;59.7372
5966;1;59.7253
5999;1;59.7372
6033;1;59.7372
6067;1;59.7253
6100;1;59.7372
6134;1;59.7372
6168;1;59.7372
6202;1;59.7253
6235;1;59.7372
6269;1;59.7372
6303;1;59.7253
6336;1;59.7372
6370;1;59.7372
6404;1;59.7253
6437;1;59.7372
6471;1;59.7372
6505;1;59.7372
6539;1;59.7253
6572;1;59.7372
6606;1;59.7372
6640;1;59.7253
6673;1;59.7372
6707;1;59.7372
6741;1;59.7372
6775;1;59.7253
6808;1;59.7372
6842;1;59.7372
6876;1;59.7253
6909;1;59.7372
6943;1;59.7372
6977;1;59.7253
7010;1;59.7372
7044;1;59.7372
7078;1;59.7372
7112;1;59.7253
7145;1;59.7372
7179;1;59.7372
7213;1;59.7253
7246;1;59.7372
7280;1;59.7372
7314;1;59.7372
7348;1;59.7253
7381;1;59.7372
7415;1;59.7372
7449;1;59.7253
7482;1;59.7372
7516;1;59.7372
7550;1;59.7372
7584;1;59.7253
7617;1;59.7372
7651;1;59.7372
7685;1;59.7253
7718;1;59.7372
7752;1;59.7372
7786;1;59.7253
7819;1;59.7372
7853;1;59.7372
7887;1;59.7372
7921;1;59.7253
7954;1;59.7372
7988;1;59.7372
8022;1;59.7253
8055;1;59.7372
8089;1;59.7372
8123;1;59.7372
8157;1;59.7253
8190;1;59.7372
8224;1;83.632
8258;1;83.6154
8291;1;83.632
8325;1;83.632
8359;1;83.6154
8392;1;47.7897
8426;1;47.7897
8460;1;47.7897
8494;1;47.7802
8527;1;47.7897
8561;1;47.7897
8595;1;47.7802
8628;1;83.632
8662;1;83.632
8696;1;59.7372
8730;1;59.7253
8763;1;59.7372
8797;1;59.7372
8831;1;59.7253
8864;1;59.7372
8898;1;59.7372
8932;1;59.7253
8965;1;59.7372
8999;1;59.7372
9033;1;59.7372
9067;1;59.7253
9100;1;83.632
9134;1;59.7372
9168;1;59.7253
9201;1;83.632
9235;1;83.632
9269;1;83.632
9303;1;83.6154
9336;1;83.632
9370;1;83.632
9404;1;83.6154
9437;1;83.632
9471;1;83.632
9505;1;83.6154
9539;1;83.6154
9572;1;83.632
9606;1;83.632
9640;1;83.6154
9673;1;83.632
9707;1;83.632
9741;1;83.6154
9774;1;83.632
9808;1;83.632
9842;1;83.632
9876;1;83.6154
9909;1;83.632
9943;1;83.632
9977;1;83.6154
10010;1;83.632
10044;1;83.632
10078;1;83.632
10112;1;83.6154
10145;1;83.632
10179;1;83.632
10213;1;83.6154
10246;1;83.632
10280;1;83.632
10314;1;83.6154
10347;1;83.632
10381;1;83.632
10415;1;83.632
10449;1;83.6154
10482;1;83.632
10516;1;83.632
10550;1;83.6154
10583;1;83.632
10617;1;83.632
10651;1;83.632
10685;1;83.6154
10718;1;83.632
10752;1;83.632
10786;1;83.6154
10819;1;83.632
10853;1;83.632
10887;1;83.6154
10920;1;83.632
10954;1;83.632
10988;1;83.632
11022;1;83.6154
11055;1;83.632
11089;1;83.632
11123;1;83.6154
11156;1;83.632
11190;1;83.632
11224;1;83.632
11258;1;83.6154
11291;1;83.632
11325;1;83.632
11359;1;83.6154
11392;1;83.632
11426;1;83.632
11460;1;83.6154
11493;1;83.632
11527;1;83.632
11561;1;83.632
11595;1;83.6154
11628;1;83.632
11662;1;83.632
11696;1;83.6154
11729;1;83.632
11763;1;83.632
11797;1;83.632
11831;1;83.6154
11864;1;83.632
11898;1;83.632
11932;1;83.6154
11965;1;83.632
11999;1;83.632
12033;1;83.6154
